TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
House for sale,2500000,5,2,1450,40.767967,-73.824607
House for sale,998000,4,4,2000,40.515251,-74.235145
House for sale,1195000,4,4,2688,40.629643,-74.100527
House for sale,1649000,3,2,2052,40.616418,-74.014244
House for sale,955000,4,4,2100,40.551184,-74.184065
House for sale,880000,3,2,1743,40.766831,-73.791118
Condo for sale,198000,1,1,750,40.71276,-73.83433
House for sale,549000,5,3,496,40.86797,-73.836565
House for sale,1088888,3,4,1320,40.609091,-73.976265
House for sale,888000,4,2,2686,40.813078,-73.806336
House for sale,2499000,5,2,4100,40.71077,-73.840694
Townhouse for sale,1970000,4,4,2508,40.696533,-73.983965
House for sale,689000,3,2,1248,40.613776,-74.160031
House for sale,649999,3,2,1440,40.580333,-74.088517
House for sale,669000,3,2,864,40.599352,-74.095388
House for sale,800000,3,2,825,40.622273,-73.924094
House for sale,390000,2,1,586,40.574103,-74.093167
House for sale,1450000,4,2,2700,40.527309,-74.175344
Condo for sale,725000,2,2,792,40.689816,-73.906247
Co-op for sale,459000,3,2,1250,40.586648,-73.984516
House for sale,689999,3,2,1008,40.621814,-74.140626
Co-op for sale,425000,3,2,1405,40.738185,-73.858125
House for sale,10000000,5,4,6800,40.764989,-73.965533
Multi-family home for sale,1499000,9,6,3519,40.583514,-73.97389
Co-op for sale,425000,3,2,1405,40.738185,-73.858125
Multi-family home for sale,1499000,9,6,3519,40.583514,-73.97389
House for sale,519000,3,2,1480,40.593938,-74.184315
Co-op for sale,498000,2,1,975,40.635116,-74.031161
Co-op for sale,385000,1,2,900,40.78393,-73.77643
Multi-family home for sale,999000,6,2,3144,40.845107,-73.860158
House for sale,829888,4,2,1800,40.521278,-74.223035
Townhouse for sale,699998,3,2,1548,40.595314,-74.162829
House for sale,999000,6,2,1280,40.880817,-73.835083
Co-op for sale,265000,1,1,700,40.78245,-73.77651
Co-op for sale,288000,1,1,845,40.589483,-73.939537
Co-op for sale,999995,3,2,1750,40.76405,-73.964336
Co-op for sale,1495000,2,2,1350,40.77082,-73.959524
Co-op for sale,925000,1,1,1000,40.769943,-73.958356
Condo for sale,2000000,4,4,3000,40.757348,-73.961491
Condo for sale,839000,3,2,1376,40.590545,-73.99104
Co-op for sale,329000,1,1,820,40.71574,-73.83672
Multi-family home for sale,899000,6,3,3683,40.879614,-73.856153
Condo for sale,800000,2,2,1257,40.791779,-73.94062
Condo for sale,430000,2,2,1248,40.612387,-74.151129
Co-op for sale,439500,3,2,1400,40.704788,-73.834455
House for sale,2580000,8,2,6493,40.605069,-74.096948
Condo for sale,200000,1,1,613,40.840459,-73.854205
Co-op for sale,69000,1,1,850,40.836662,-73.923959
Condo for sale,1995000,3,2,1546,40.801855,-73.967288
Co-op for sale,230000,1,1,620,40.802842,-73.967023
