TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Townhouse for sale,334999,1,2,1059,40.560143,-74.185436
Co-op for sale,335000,2,1,745,40.75179,-73.88467
Townhouse for sale,334999,1,2,1059,40.560143,-74.185436
House for sale,799000,3,2,2279,40.6132,-73.901971
Condo for sale,720000,3,2,1046,40.687375,-73.926406
House for sale,650000,2,2,896,40.745236,-73.720455
Townhouse for sale,4845000,9,6,5939,40.808933,-73.940052
Condo for sale,499999,3,1,701,40.592532,-73.957405
House for sale,988000,4,2,2400,40.594519,-74.090478
House for sale,764600,4,2,1884,40.549616,-74.139108
Townhouse for sale,5495000,5,4,4296,40.672962,-73.975128
House for sale,3900000,5,6,7723,40.792422,-73.826076
House for sale,499900,3,2,1232,40.55274,-74.199555
House for sale,499900,3,2,1232,40.55274,-74.199555
Multi-family home for sale,1799000,4,3,3176,40.719661,-73.850787
Multi-family home for sale,989000,4,2,1827,40.592738,-73.953685
Multi-family home for sale,890000,5,2,2144,40.59602,-74.06735
Condo for sale,469888,2,2,1164,40.848071,-73.786181
Townhouse for sale,4250000,3,4,3376,40.678195,-73.970262
Townhouse for sale,7400000,4,1,3700,40.682066,-73.990383
Co-op for sale,659000,3,2,1300,40.822443,-73.810961
House for sale,725000,3,2,1476,40.558228,-74.117355
Co-op for sale,629000,2,2,1600,40.756476,-73.721201
House for sale,285000,3,1,1428,40.638474,-74.171463
Condo for sale,698000,2,2,824,40.761665,-73.826414
Townhouse for sale,1775000,6,4,4900,40.868576,-73.922044
Townhouse for sale,3850000,4,2,2160,40.775075,-73.94961
Condo for sale,4500000,5,4,3180,40.709894,-74.017865
House for sale,465000,2,2,988,40.828518,-73.81552
Multi-family home for sale,699000,3,2,2034,40.866509,-73.857401
House for sale,799000,3,2,864,40.559309,-74.126496
House for sale,575000,5,3,2076,40.8965,-73.858541
House for sale,2750000,3,5,4600,40.612636,-73.909459
Condo for sale,495000,2,1,766,40.852597,-73.935291
Multi-family home for sale,1199000,4,4,2279,40.545515,-74.156447
Co-op for sale,605000,3,2,1500,40.881882,-73.921791
House for sale,768000,3,2,1065,40.769338,-73.785432
Condo for sale,2099000,3,2,1711,40.701974,-73.986904
Co-op for sale,575000,3,2,1480,40.588606,-73.939403
House for sale,639000,3,2,1224,40.832149,-73.826594
House for sale,850000,3,2,2160,40.593105,-74.066349
Multi-family home for sale,674999,5,2,2600,40.831556,-73.887227
Multi-family home for sale,788888,5,2,3443,40.625517,-73.920518
Co-op for sale,379000,2,2,1160,40.632062,-73.945259
Co-op for sale,250000,1,1,900,40.880985,-73.910233
Co-op for sale,1275000,1,1,1000,40.763566,-73.994137
House for sale,1070000,4,2,2192,40.599104,-74.067279
Townhouse for sale,4800000,10,4,5353,40.672261,-73.981614
House for sale,1250000,6,3,2400,40.839284,-73.824308
Multi-family home for sale,799000,4,3,1344,40.639809,-73.910938
Multi-family home for sale,963000,4,4,2400,40.516861,-74.237535
Co-op for sale,950000,2,1,1000,40.775921,-73.986103
Co-op for sale,269000,1,1,900,40.71257,-73.79318
House for sale,8500000,7,6,7000,40.722391,-74.00755
Co-op for sale,550000,2,1,1069,40.719237,-73.846265
Condo for sale,7995000,3,4,4412,40.744925,-73.983605
House for sale,690000,3,2,1284,40.588482,-74.073534
Townhouse for sale,8750000,7,8,5000,40.734598,-74.002911
Co-op for sale,619000,2,2,1200,40.576887,-73.954213
House for sale,899000,3,1,1050,40.614149,-74.164342
House for sale,1175000,2,2,1144,40.631439,-74.037838
Multi-family home for sale,2999000,8,2,6000,40.618804,-74.012196
Condo for sale,1395000,2,2,1793,40.780245,-73.982796
Co-op for sale,499000,2,1,686,40.761555,-73.992369
House for sale,1625000,4,4,2743,40.789503,-73.976971
House for sale,799999,3,3,1444,40.711099,-73.741186
House for sale,1139000,4,4,3150,40.53088,-74.191311
House for sale,529000,3,2,1650,40.80614,-73.857994
Co-op for sale,300000,3,1,1200,40.586269,-73.940712
House for sale,799000,5,4,1802,40.595749,-73.98622
Multi-family home for sale,869000,6,3,1526,40.850525,-73.856443
House for sale,749000,3,2,1480,40.853446,-73.848465
Co-op for sale,240900,2,1,875,40.879741,-73.920419
House for sale,549000,5,2,1716,40.572173,-74.097279
Co-op for sale,129000,1,1,750,40.899519,-73.862368
House for sale,475000,3,2,900,40.615882,-74.082219
Multi-family home for sale,980000,4,3,1408,40.611841,-73.92961
Multi-family home for sale,1199000,4,2,1824,40.611925,-74.008403
Townhouse for sale,1299999,5,5,3134,40.588334,-73.793404
Co-op for sale,265000,2,1,1100,40.606809,-73.959033
House for sale,2699000,7,6,11250,40.608769,-74.059777
House for sale,1200000,4,4,3300,40.858006,-73.836554
House for sale,2699000,7,6,11250,40.608769,-74.059777
House for sale,989000,6,4,2720,40.511945,-74.247072
House for sale,1200000,4,4,3300,40.858006,-73.836554
Multi-family home for sale,899999,5,3,1800,40.901619,-73.89994
House for sale,2780000,5,6,3045,40.796744,-73.816075
Co-op for sale,999000,2,1,1050,40.792112,-73.973177
Condo for sale,60000,3,1,445,40.761398,-73.974613
House for sale,499999,4,2,1248,40.628946,-74.138849
House for sale,599999,3,2,1272,40.611185,-74.075324
House for sale,725000,4,2,2000,40.619952,-74.12379
House for sale,998888,3,2,1780,40.611755,-74.032328
Multi-family home for sale,980000,3,4,2700,40.586018,-73.925213
House for sale,1299000,3,4,4450,40.854862,-73.790669
House for sale,799000,3,2,1128,40.616921,-73.941527
House for sale,995000,3,2,3080,40.851385,-73.854324
House for sale,1250000,5,3,2295,40.617019,-73.987835
Multi-family home for sale,749999,6,3,3150,40.845396,-73.868163
Townhouse for sale,2650000,5,4,4100,40.671102,-73.947343
Condo for sale,479000,2,2,1008,40.578288,-74.158301
Co-op for sale,2300000,2,2,1600,40.723616,-73.978174
Multi-family home for sale,1390000,6,5,2245,40.711113,-73.736178
Co-op for sale,450000,3,2,1026,40.73235,-73.861165
House for sale,1999000,4,4,3420,40.593914,-74.105988
Multi-family home for sale,639888,5,3,1376,40.556402,-74.197529
House for sale,569900,4,2,2180,40.639558,-74.080762
Multi-family home for sale,689888,3,2,1300,40.678081,-73.818897
House for sale,589000,4,3,1320,40.63567,-74.166895
House for sale,299000,1,1,608,40.563836,-74.098979
House for sale,1750000,4,4,3645,40.796896,-73.822999
House for sale,879000,2,1,1000,40.761537,-73.957979
Co-op for sale,430000,2,2,1200,40.883066,-73.920643
House for sale,999000,3,2,1900,40.622804,-74.010968
House for sale,1225000,4,2,1960,40.76848,-73.766666
House for sale,1350000,4,3,1760,40.729358,-73.783018
House for sale,1600000,4,4,3150,40.536487,-74.198718
Condo for sale,600000,3,1,441,40.769109,-73.98162
Co-op for sale,329000,1,1,750,40.61593,-74.033583
House for sale,2400000,5,4,3800,40.575248,-74.130488
Condo for sale,275000,1,1,850,40.605627,-73.943238
Co-op for sale,1395000,3,3,1750,40.797134,-73.972208
Condo for sale,568000,2,1,550,40.614121,-73.996662
Condo for sale,568000,2,1,550,40.614121,-73.996662
House for sale,899000,4,2,1200,40.779161,-73.825756
House for sale,535000,3,3,1328,40.835507,-73.911997
House for sale,799999,3,2,1596,40.54196,-74.168287
Condo for sale,1989000,2,2,1274,40.760398,-73.991933
House for sale,699000,6,4,2223,40.818678,-73.895472
Co-op for sale,369000,1,1,900,40.876398,-73.918469
House for sale,599000,4,4,2100,40.608364,-73.756542
Co-op for sale,169000,1,1,680,40.615019,-73.946493
House for sale,749000,3,2,1600,40.854491,-73.849039
House for sale,1099000,5,4,3500,40.545779,-74.184706
Townhouse for sale,475000,2,2,1364,40.563489,-74.142266
Co-op for sale,124900,1,1,676,40.880833,-73.87586
House for sale,5900000,7,8,10100,40.897896,-73.903306
Condo for sale,249000,2,1,815,40.840962,-73.854142
Townhouse for sale,549000,3,2,1150,40.503204,-74.238852
Multi-family home for sale,1999000,6,4,3850,40.91107,-73.901789
Condo for sale,2200000,3,4,1779,40.768508,-73.949997
House for sale,479000,4,2,1800,40.671482,-73.760679
Townhouse for sale,588000,4,3,2160,40.867894,-73.907853
Condo for sale,3300000,2,2,1652,40.772015,-73.955534
House for sale,479000,4,2,1800,40.671482,-73.760679
Co-op for sale,439000,1,1,950,40.638118,-74.073964
House for sale,758000,3,2,1760,40.708633,-73.865415
Townhouse for sale,588000,4,3,2160,40.867894,-73.907853
Townhouse for sale,2977000,4,4,2601,40.683431,-74.005483
Co-op for sale,385000,1,1,900,40.876794,-73.917703
House for sale,1475000,5,4,1928,40.59997,-73.74551
Condo for sale,2700000,3,3,1398,40.732082,-73.961033
Co-op for sale,349000,2,1,900,40.880256,-73.916834
Townhouse for sale,790000,3,2,1596,40.776195,-73.847767
Condo for sale,750000,2,2,995,40.778411,-73.781048
Co-op for sale,1195000,3,3,995,40.88309,-73.916574
Co-op for sale,1750000,3,3,995,40.798921,-73.972397
House for sale,874999,3,2,2868,40.57718,-74.119431
Co-op for sale,324900,1,1,900,40.871644,-73.917848
Co-op for sale,97500,2,1,791,40.827904,-73.881623
Condo for sale,2200000,2,2,2035,40.770868,-73.966733
House for sale,550000,2,2,995,40.820969,-73.807421
Co-op for sale,519999,3,2,1100,40.755114,-73.875263
House for sale,729000,2,1,1100,40.534321,-74.199842
House for sale,2898555,5,5,7200,40.520302,-74.178057
House for sale,1500000,3,3,2100,40.578618,-73.942021
House for sale,5600000,5,4,4959,40.611854,-73.947715
Co-op for sale,299999,2,1,857,40.822777,-73.808478
House for sale,2358000,4,5,6300,40.546719,-74.19232
House for sale,748888,2,2,1260,40.613109,-74.160375
House for sale,630000,2,2,1450,40.560421,-74.134464
Condo for sale,1389000,2,2,1043,40.849705,-73.94014
Co-op for sale,319000,2,1,925,40.735584,-73.84912
Multi-family home for sale,1199000,4,3,1848,40.734947,-73.773319
Multi-family home for sale,1500000,6,4,3328,40.585111,-74.103608
House for sale,780000,3,2,1320,40.638434,-73.889983
Co-op for sale,255000,1,1,750,40.579232,-73.971325
Condo for sale,649000,2,2,905,40.585513,-73.988398
House for sale,1480000,4,4,1596,40.769983,-73.825756
House for sale,628000,3,2,1824,40.575597,-74.163627
Co-op for sale,190000,2,1,875,40.876608,-73.89985
House for sale,699900,3,2,1240,40.71397,-73.897057
Co-op for sale,149999,1,1,850,40.899214,-73.86241
Co-op for sale,208000,1,1,610,40.739804,-73.998037
Multi-family home for sale,1768888,10,10,3933,40.641026,-74.011279
Multi-family home for sale,1239998,4,4,2250,40.535559,-74.207592
Multi-family home for sale,1699000,9,5,5500,40.875462,-73.88075
House for sale,889000,3,2,2362,40.539577,-74.181076
Condo for sale,1300000,2,2,1100,40.674646,-73.999283
Co-op for sale,310000,2,1,675,40.744405,-73.723766
Co-op for sale,239900,1,1,585,40.751666,-73.7183
Co-op for sale,257000,3,1,450,40.575628,-73.966783
Condo for sale,1090000,2,2,1860,40.787923,-73.786372
Townhouse for sale,2045000,6,4,3976,40.830567,-73.946964
Multi-family home for sale,1195000,3,2,2700,40.542466,-74.174663
Co-op for sale,340000,2,1,900,40.891948,-73.897369
House for sale,1375000,6,2,1596,40.768103,-73.810775
House for sale,749000,3,1,1644,40.626704,-74.105208
Co-op for sale,775000,3,2,1880,40.763663,-73.965508
Condo for sale,1090000,2,2,1860,40.787923,-73.786372
Co-op for sale,340000,2,1,900,40.891948,-73.897369
Co-op for sale,699000,1,1,600,40.779461,-73.979919
Multi-family home for sale,729000,3,3,1800,40.639121,-73.911236
Condo for sale,425000,2,2,800,40.884892,-73.911044
Co-op for sale,625000,3,1,652,40.702334,-73.993746
Co-op for sale,269000,1,1,700,40.731896,-73.859965
Condo for sale,449000,2,2,1440,40.580134,-74.154154
Multi-family home for sale,699000,8,5,2300,40.846091,-73.888791
Co-op for sale,550000,3,2,1250,40.807196,-73.941821
Townhouse for sale,799900,3,1,2058,40.51477,-74.202236
House for sale,758000,3,1,1200,40.590879,-73.986596
House for sale,829000,4,2,1680,40.65658,-73.851635
Condo for sale,789000,2,2,1230,40.577533,-73.958513
House for sale,1439000,6,4,1440,40.633756,-74.003307
Multi-family home for sale,1050000,7,4,3280,40.828223,-73.870637
Co-op for sale,134500,3,1,503,40.878977,-73.916004
House for sale,270000,4,2,2000,40.855052,-73.88523
House for sale,270000,4,2,2000,40.855052,-73.88523
House for sale,529000,3,2,1150,40.635324,-74.133679
Townhouse for sale,1049000,3,1,1224,40.720754,-73.85378
Condo for sale,3595000,3,3,1862,40.724196,-74.009149
Multi-family home for sale,998000,6,3,1872,40.708637,-73.902607
Multi-family home for sale,889000,6,2,2280,40.836858,-73.844927
House for sale,825000,2,2,1820,40.616317,-73.998165
Multi-family home for sale,599999,6,2,3490,40.66493,-73.867072
House for sale,649000,3,2,1064,40.621503,-73.906637
Multi-family home for sale,989000,8,5,3960,40.880758,-73.841849
Condo for sale,357000,3,1,1100,40.838983,-73.860152
Multi-family home for sale,1099999,4,2,2185,40.813594,-73.801901
Multi-family home for sale,589999,4,2,1680,40.631489,-74.134846
House for sale,749000,3,2,1332,40.615577,-74.136452
Condo for sale,499000,3,2,1156,40.672672,-73.849675
House for sale,899000,3,2,1324,40.605524,-73.914316
Co-op for sale,315000,2,1,850,40.61425,-73.919697
House for sale,1999999,5,2,5301,40.607139,-74.097086
House for sale,950000,4,3,1746,40.710755,-73.732087
House for sale,1399000,5,3,3375,40.649116,-73.838989
Condo for sale,595000,3,1,660,40.705931,-74.009339
House for sale,1618000,5,2,2200,40.614888,-73.907897
Multi-family home for sale,1100000,3,2,1928,40.514209,-74.25051
Townhouse for sale,3995000,8,8,5046,40.80059,-73.97071
Co-op for sale,659000,1,1,440,40.686753,-73.996485
Multi-family home for sale,1099000,6,3,2018,40.738552,-73.854553
Condo for sale,319000,2,2,1102,40.806951,-73.853401
Multi-family home for sale,999000,9,3,3168,40.847464,-73.917761
Co-op for sale,398000,3,2,1571,40.71257,-73.79318
Co-op for sale,249000,3,1,500,40.871796,-73.916064
Multi-family home for sale,1299000,3,2,2648,40.754427,-73.811419
Townhouse for sale,8950000,3,6,6336,40.743742,-73.978774
House for sale,750000,5,3,1500,40.669329,-73.792439
Multi-family home for sale,1100000,5,3,1916,40.618363,-73.926039
House for sale,1275000,3,4,2380,40.539363,-74.214287
House for sale,689000,2,2,750,40.581721,-73.964561
Multi-family home for sale,1399000,6,5,2500,40.671787,-73.795564
House for sale,395000,2,2,1089,40.807051,-73.853819
House for sale,1250000,4,2,2273,40.897652,-73.90194
Co-op for sale,719000,3,2,1440,40.721289,-73.84039
Multi-family home for sale,795000,3,4,1171,40.88098,-73.907445
Condo for sale,4250000,3,4,2054,40.770476,-73.957455
Townhouse for sale,2500000,3,4,2201,40.741725,-73.978664
Multi-family home for sale,850000,3,2,1600,40.57769,-74.007221
House for sale,1350000,4,2,2948,40.854814,-73.850016
House for sale,929000,5,2,2200,40.559212,-74.126359
House for sale,879000,4,2,1630,40.728218,-73.803258
Townhouse for sale,7500000,4,2,4250,40.77551,-73.957627
House for sale,649000,3,2,980,40.543422,-74.174846
House for sale,499999,2,1,800,40.594453,-74.188961
Multi-family home for sale,999998,4,4,2720,40.586268,-74.158517
Co-op for sale,258888,1,1,650,40.617279,-74.026753
Townhouse for sale,660000,3,2,1283,40.851494,-73.849223
Townhouse for sale,318888,2,2,1270,40.638459,-74.164663
Co-op for sale,385000,2,2,1100,40.88277,-73.914825
Co-op for sale,349000,1,1,1017,40.578169,-73.858671
House for sale,968000,3,2,1344,40.73094,-73.868381
Condo for sale,238000,1,1,650,40.61096,-74.060351
Multi-family home for sale,1200000,6,6,5712,40.702333,-73.889111
House for sale,911600,3,2,1596,40.768507,-73.824607
House for sale,598000,3,2,1144,40.87796,-73.901167
Condo for sale,472000,1,1,700,40.73531,-73.881251
Multi-family home for sale,3995000,3,2,12200,40.610728,-74.070161
Condo for sale,472000,1,1,700,40.73531,-73.881251
House for sale,598000,3,2,1144,40.87796,-73.901167
House for sale,1085000,5,3,1200,40.618311,-73.997597
Multi-family home for sale,680000,3,2,1535,40.67137,-73.869277
Condo for sale,200000,1,2,637,40.838965,-73.861349
Co-op for sale,210000,2,1,1000,40.734848,-73.823251
Townhouse for sale,525000,2,2,996,40.546286,-74.195582
Multi-family home for sale,1799000,3,1,5400,40.576732,-74.118737
Townhouse for sale,1900000,9,5,5000,40.808284,-73.941236
House for sale,519000,3,2,1200,40.651735,-73.830298
House for sale,728900,4,1,960,40.616316,-74.124833
Co-op for sale,299999,2,2,1300,40.78086,-73.7835
Co-op for sale,299999,2,2,1300,40.78086,-73.7835
Condo for sale,599000,2,2,1095,40.578426,-73.985367
House for sale,1288888,3,4,1672,40.606953,-74.101694
Multi-family home for sale,1299999,8,4,3448,40.625974,-73.914121
House for sale,1399999,3,2,2700,40.511687,-74.238819
House for sale,725000,3,2,2410,40.896555,-73.847673
House for sale,639000,2,2,862,40.617525,-73.925523
House for sale,950000,4,4,2060,40.788491,-73.851578
Co-op for sale,279000,3,1,1400,40.856354,-73.865974
House for sale,1725000,3,2,1508,40.620866,-74.036863
Multi-family home for sale,1698000,4,4,3620,40.53577,-74.184982
House for sale,438000,2,2,1354,40.562804,-74.185383
Co-op for sale,100000,3,1,512,40.60429,-73.747829
Condo for sale,625000,2,2,995,40.778036,-73.780899
House for sale,350000,3,2,1520,40.675827,-73.882898
House for sale,599000,3,2,1208,40.689212,-73.863443
Co-op for sale,279900,1,1,900,40.830122,-73.920261
Co-op for sale,165000,1,1,875,40.899423,-73.870638
Condo for sale,625000,2,1,825,40.744346,-73.957101
Co-op for sale,279900,1,1,900,40.830122,-73.920261
Multi-family home for sale,580000,5,2,1780,40.587442,-73.967572
Condo for sale,979000,3,2,1272,40.629598,-74.027557
House for sale,1699888,3,3,2275,40.655645,-73.848959
House for sale,499000,4,2,1752,40.871727,-73.905085
Multi-family home for sale,1250000,6,2,3312,40.745927,-73.868944
Co-op for sale,245000,2,1,900,40.6015,-73.93243
Townhouse for sale,5800000,7,5,6360,40.688474,-73.974729
House for sale,2350000,5,4,4270,40.525174,-74.217604
Co-op for sale,425000,3,1,450,40.746481,-74.001884
House for sale,799000,3,2,2340,40.588791,-74.14448
Multi-family home for sale,725000,4,2,1700,40.668194,-73.874905
Co-op for sale,3695000,2,2,1697,40.72465,-73.996091
House for sale,1199000,4,1,1840,40.616513,-74.004585
Co-op for sale,99000,1,1,850,40.83645,-73.924271
House for sale,399000,3,2,1601,40.71155,-73.74643
Condo for sale,1300000,2,2,1140,40.794547,-73.964958
Condo for sale,558000,1,1,751,40.619526,-74.031158
House for sale,1280000,4,2,2340,40.769055,-73.744499
Co-op for sale,429000,2,2,1450,40.886861,-73.912973
Condo for sale,399900,2,2,853,40.580379,-74.157806
House for sale,499900,3,1,1040,40.628187,-74.160673
Co-op for sale,429000,2,2,1450,40.886861,-73.912973
Multi-family home for sale,2489000,4,4,2334,40.671985,-73.98894
Condo for sale,255500,1,1,950,40.60775,-74.074309
Multi-family home for sale,471300,4,2,2175,40.662939,-73.887815
Condo for sale,9450000,2,3,3918,40.722818,-74.00088
House for sale,1089000,4,2,1720,40.627508,-74.018889
Co-op for sale,220000,1,1,500,40.669945,-73.94294
Townhouse for sale,9950000,10,10,8000,40.736993,-73.986888
Co-op for sale,295000,2,1,950,40.677845,-73.733501
House for sale,1375000,5,4,2704,40.606711,-74.144709
Co-op for sale,399000,2,2,1050,40.577692,-73.973731
Co-op for sale,219999,2,1,800,40.883379,-73.907461
House for sale,639000,4,2,1856,40.577496,-74.1181
House for sale,499999,3,2,1763,40.617581,-74.085832
Townhouse for sale,1268000,3,2,1513,40.724081,-73.852123
House for sale,1899000,7,4,2800,40.604992,-73.910653
Co-op for sale,888000,3,2,1600,40.724514,-73.845844
House for sale,2900000,5,2,6707,40.600034,-74.106424
House for sale,3200000,4,4,2950,40.628685,-74.037242
House for sale,1175000,3,2,1192,40.636982,-74.027679
House for sale,1448000,5,4,2000,40.735335,-73.714203
House for sale,2950000,6,5,5436,40.603769,-73.911367
Co-op for sale,150000,3,1,600,40.73645,-73.858483
Condo for sale,354900,2,1,673,40.634367,-74.031134
House for sale,969000,3,2,1776,40.716599,-73.883495
Condo for sale,530000,1,1,538,40.59546,-73.996842
House for sale,3900000,5,6,7723,40.792435,-73.825836
House for sale,450000,3,2,1122,40.840831,-73.785668
Condo for sale,475000,2,1,1296,40.552776,-74.15393
Co-op for sale,125000,3,1,600,40.845596,-73.826422
Co-op for sale,2200000,3,3,2195,40.79042,-73.966175
House for sale,215000,3,2,1509,40.698227,-73.760587
House for sale,2050000,6,6,5600,40.585635,-74.106859
Co-op for sale,279000,2,2,1050,40.898666,-73.873837
Condo for sale,785000,2,2,968,40.603915,-73.998085
House for sale,669000,3,2,1312,40.60138,-74.138096
Multi-family home for sale,3650000,4,4,2880,40.693882,-73.998313
Townhouse for sale,6700000,4,4,3740,40.791863,-73.966761
Multi-family home for sale,530000,2,2,1672,40.626863,-74.147645
Condo for sale,1700000,2,2,1580,40.676352,-73.954347
Co-op for sale,339000,1,1,1085,40.61712,-74.03852
House for sale,800000,3,2,1224,40.612559,-73.923043
Co-op for sale,189000,1,1,700,40.906568,-73.896805
House for sale,999999,2,2,1198,40.780343,-73.947266
Condo for sale,575000,3,2,877,40.701979,-73.894209
Townhouse for sale,7950000,4,2,3397,40.731949,-74.002506
Multi-family home for sale,1850000,12,8,5250,40.607437,-73.958828
Co-op for sale,175000,1,1,800,40.874295,-73.883753
Townhouse for sale,5995000,6,4,4000,40.686821,-73.998823
House for sale,4200000,5,4,4480,40.788437,-73.973189
House for sale,1848000,6,2,3676,40.638625,-73.959196
Co-op for sale,285000,1,1,750,40.619581,-73.970636
Multi-family home for sale,849000,5,3,2460,40.593943,-73.774836
House for sale,549000,3,2,1250,40.851533,-73.919786
Co-op for sale,729000,2,2,1700,40.757799,-73.715956
House for sale,4900000,8,2,9000,40.898308,-73.902085
Multi-family home for sale,600000,4,2,1728,40.896179,-73.839487
House for sale,599000,3,1,1340,40.686098,-73.799886
Multi-family home for sale,599000,5,2,2268,40.683525,-73.914108
Condo for sale,725000,3,2,1185,40.617257,-73.961101
Multi-family home for sale,1295000,3,2,2600,40.609816,-73.908403
Multi-family home for sale,798888,3,2,1500,40.547493,-74.20985
House for sale,529000,3,1,1800,40.7213,-73.75444
Multi-family home for sale,999998,3,2,2400,40.511494,-74.238269
Multi-family home for sale,1550000,12,7,3000,40.508345,-74.229935
Co-op for sale,245000,3,1,260,40.748134,-73.970881
Multi-family home for sale,1249000,5,3,1548,40.594633,-73.97793
Condo for sale,455000,2,1,939,40.559953,-74.119826
Multi-family home for sale,999900,4,2,2024,40.610184,-74.009209
House for sale,395000,2,1,666,40.57245,-74.090972
Condo for sale,620000,1,1,430,40.77744,-73.97931
Multi-family home for sale,1295000,4,2,3264,40.538926,-74.195072
Condo for sale,849000,3,2,1241,40.604405,-73.975194
Co-op for sale,8995000,5,4,5500,40.744272,-73.990762
Condo for sale,2995000,2,2,1452,40.780392,-73.955892
Condo for sale,495000,2,1,800,40.704552,-73.835612
House for sale,675000,3,2,1222,40.627717,-74.086027
Condo for sale,999000,3,1,600,40.771745,-73.990051
Condo for sale,2250000,2,2,1334,40.681972,-73.990328
Multi-family home for sale,1299000,9,4,3720,40.82273,-73.851727
Condo for sale,429000,1,1,640,40.575536,-73.973591
Townhouse for sale,2050000,5,4,3000,40.65866,-73.959597
House for sale,1075000,6,2,2200,40.614198,-73.959115
Co-op for sale,174000,1,1,800,40.599708,-73.934497
House for sale,1193000,2,2,1518,40.583928,-74.111379
House for sale,898000,5,4,2828,40.6816,-73.894853
Multi-family home for sale,1288000,5,3,1500,40.784981,-73.817803
House for sale,1749999,4,4,2600,40.595688,-74.098233
Condo for sale,575000,2,2,1253,40.582487,-73.821344
Condo for sale,5100000,4,2,2183,40.740811,-73.998475
Condo for sale,2000000,1,2,1321,40.715975,-74.008368
Co-op for sale,170000,2,1,850,40.881392,-73.8757
Co-op for sale,1295000,2,2,2100,40.702334,-73.993746
House for sale,749000,3,2,1332,40.63339,-74.096983
Multi-family home for sale,1848000,3,4,3640,40.607214,-73.999864
Co-op for sale,209900,1,1,780,40.586901,-73.932949
Co-op for sale,199900,1,1,925,40.863113,-73.898323
House for sale,919000,3,2,1565,40.633595,-73.967817
Multi-family home for sale,1050000,4,4,3305,40.520986,-74.208463
Co-op for sale,289999,1,1,830,40.87999,-73.919862
Townhouse for sale,7750000,3,2,3375,40.629467,-73.994672
Multi-family home for sale,1998000,6,3,3192,40.631406,-74.019351
Condo for sale,1250000,3,2,1281,40.730804,-73.980898
Condo for sale,680000,2,2,1058,40.794226,-73.795068
House for sale,2098000,5,4,1200,40.792844,-73.819081
Co-op for sale,899000,2,2,1300,40.620502,-74.039697
Co-op for sale,169000,1,1,850,40.71066,-73.79869
Multi-family home for sale,1499000,5,2,2280,40.685212,-73.91313
Co-op for sale,169000,1,1,850,40.71066,-73.79869
Townhouse for sale,499000,3,2,1400,40.633314,-74.145909
House for sale,649000,4,2,1120,40.569497,-74.123744
Co-op for sale,335000,1,1,756,40.627337,-74.026202
Condo for sale,1495000,2,2,1098,40.702357,-73.989204
Multi-family home for sale,980000,4,4,3068,40.812913,-73.846184
House for sale,688000,3,2,1344,40.57734,-73.994329
Co-op for sale,375000,1,1,500,40.758122,-73.96707
Condo for sale,568000,2,2,1253,40.582804,-73.821081
Multi-family home for sale,1153000,4,2,3980,40.507892,-74.253033
Co-op for sale,349000,1,1,800,40.635825,-73.973308
Multi-family home for sale,2999990,5,6,3600,40.668126,-73.989787
Townhouse for sale,899000,3,2,1400,40.736806,-73.902615
House for sale,449999,4,3,1217,40.632902,-74.120945
Townhouse for sale,495000,3,2,1280,40.639648,-74.115199
House for sale,749000,4,3,2150,40.627811,-74.146957
House for sale,875000,4,3,2129,40.747464,-73.704456
Condo for sale,849000,2,1,720,40.761427,-73.982584
Co-op for sale,549000,3,1,1200,40.635832,-74.029137
Co-op for sale,445000,3,2,1250,40.587191,-73.984097
House for sale,399998,4,2,1252,40.617168,-74.083714
Condo for sale,9500000,4,4,3655,40.704623,-73.987824
House for sale,650000,4,2,1482,40.650336,-73.944007
House for sale,880000,3,4,2100,40.551314,-74.167003
House for sale,1350000,5,3,2082,40.728403,-73.780398
House for sale,1350000,5,3,2082,40.728403,-73.780398
House for sale,880000,3,4,2100,40.551314,-74.167003
Condo for sale,1100000,2,1,807,40.709905,-73.962869
Co-op for sale,259000,2,1,950,40.82487,-73.922983
Multi-family home for sale,1699999,6,3,2754,40.681189,-73.914661
House for sale,3400000,6,6,6290,40.896958,-73.903212
Condo for sale,3345000,2,2,1875,40.719444,-74.008102
House for sale,897888,3,2,1260,40.72929,-73.894537
House for sale,575000,4,2,1604,40.674001,-73.874307
Condo for sale,3345000,2,2,1875,40.719444,-74.008102
House for sale,3400000,6,6,6290,40.896958,-73.903212
House for sale,575000,4,2,1604,40.674001,-73.874307
House for sale,897888,3,2,1260,40.72929,-73.894537
House for sale,2100000,4,3,3512,40.797472,-73.814364
House for sale,1080000,6,3,3600,40.61105,-74.130947
Condo for sale,378888,1,1,718,40.620478,-74.110926
Condo for sale,750000,3,2,1027,40.792925,-73.940414
House for sale,698888,3,2,1440,40.571472,-74.119397
Condo for sale,850000,1,1,626,40.73221,-73.953584
Townhouse for sale,2999999,4,3,2800,40.673664,-73.962386
Townhouse for sale,2025000,2,2,1500,40.675613,-74.012487
Townhouse for sale,2695000,3,2,1950,40.713524,-73.942354
Co-op for sale,395000,1,1,550,40.786765,-73.975335
Co-op for sale,699000,2,1,800,40.789657,-73.967323
House for sale,689000,3,2,1484,40.631307,-74.135683
Condo for sale,2550000,3,2,1525,40.763142,-73.990601
Townhouse for sale,5500000,8,6,5925,40.806166,-73.944831
House for sale,1680000,1,1,3536,40.818628,-73.946074
